"","retrieve_date","create_date","body","num_reply","num_retweets","num_quote","num_likes","id","afinn","pos_bing","neg_bing","bing","word_count","sentimentr"
"47",2020-12-03,2020-05-13,"As I have said for a long time, dealing with China is a very expensive thing to do. We just made a great Trade Deal, the ink was barely dry, and the World was hit by the Plague from China. 100 Trade Deals wouldn’t make up the difference - and all those innocent lives lost!",24.2,40.6,3.3,166.2,47,0,0.333333333333333,1,-0.666666666666667,54,-0.0327276850081532
"48",2020-12-03,2020-05-16,"Why is it that China, for decades, and with a population much bigger than ours, is paying a tiny fraction of $’s to The World Health Organization, The United Nations and, worst of all, The World Trade Organization, where they are considered a so-called “developing country” and...",22.9,37,2.5,159,48,-2,0,1,-1,48,0.115470053837925
"49",2020-12-03,2020-05-16,"Replying to @realDonaldTrump.....are therefore given massive advantages over The United States, and everyone else? Prior to the Plague floating in from China, our Economy was blowing everybody away, the best of any country, EVER. We will be there again, and soon!",12.7,23.4,1.3,111.7,49,1.5,0.5,0.25,0.25,42,0.298298917577299
"50",2020-12-03,2020-05-20,"Some wacko in China just released a statement blaming everybody other than China for the Virus which has now killed hundreds of thousands of people. Please explain to this dope that it was the “incompetence of China”, and nothing else, that did this mass Worldwide killing!",42,59.4,8.7,243.8,50,-4.5,0,2.5,-2.5,46,-0.409108945117996
"51",2020-12-03,2020-05-20,"Spokesman speaks stupidly on behalf of China, trying desperately to deflect the pain and carnage that their country spread throughout the world. Its disinformation and propaganda attack on the United States and Europe is a disgrace....",10.8,28.1,1.4,118.9,51,-5.5,0,3.5,-3.5,36,-0.640590599475116
"52",2020-12-03,2020-05-20,"China is on a massive disinformation campaign because they are desperate to have Sleepy Joe Biden win the presidential race so they can continue to rip-off the United States, as they have done for decades, until I came along!",44.9,55.5,5.4,234.6,52,2,1,2,-1,40,-0.226102852702039
"53",2020-12-03,2020-05-25,"Sleepy Joe Biden (mostly his reps.) went crazy when I banned, in late January, people coming in from China. He called me “xenophobic” & then went equally “nuts” when we let in 44,000 people - until he was told they were American citizens coming home. He later apologized!",13.6,22.1,1.2,95.5,53,-2.66666666666667,0,0.333333333333333,-0.333333333333333,45,0.0253429308435178
"54",2020-12-03,2020-05-25,"Nobody in 50 years has been WEAKER on China than Sleepy Joe Biden. He was asleep at the wheel. He gave them EVERYTHING they wanted, including rip-off Trade Deals. I am getting it all back!",21.6,32.3,2.4,150.1,54,NA,0,0.5,-0.5,35,0.0551386113219616
"55",2020-12-03,2020-05-25,"Great reviews on our handling of Covid 19, sometimes referred to as the China Virus. Ventilators, Testing, Medical Supply Distribution, we made a lot of Governors look very good - And got no credit for so doing. Most importantly, we helped a lot of great people!",62.6,27.3,7.1,150,55,3,1.33333333333333,0.333333333333333,1,44,0.197867342689634
"56",2020-12-03,2020-05-26,"For all of the political hacks out there, if I hadn’t done my job well, & early, we would have lost 1 1/2 to 2 Million People, as opposed to the 100,000 plus that looks like will be the number. That’s 15 to 20 times more than we will lose. I shut down entry from China very early!",37.3,22.3,4,102.5,56,-0.333333333333333,0.666666666666667,1,-0.333333333333333,53,-0.273406685753313
"57",2020-12-03,2020-05-26,"Replying to @realDonaldTrump....One person lost to this invisible virus is too much, it should have been stopped at its source, China, but I acted very quickly, and made the right decisions. Many of the current political complainers thought, at the time, that I was moving far to fast, like Crazy Nancy!",15.6,13.8,1.1,62.4,57,-1.33333333333333,1,1.33333333333333,-0.333333333333333,52,-0.0620751588062754
"58",2020-12-03,2020-05-27,"We have informed both India and China that the United States is ready, willing and able to mediate or arbitrate their now raging border dispute. Thank you!",22.6,31.2,6.8,169.4,58,0.5,1.5,1,0.5,27,0.261776695296637
"59",2020-12-03,2020-05-27,"The Radical Left Lamestream Media, together with their partner, the Do Nothing Democrats, are trying to spread a new narrative that President Trump was slow in reacting to Covid 19. Wrong, I was very fast, even doing the Ban on China long before anybody thought necessary!",42.5,25.7,4.1,109,59,-2,1,1.5,-0.5,45,0.129100984907542
"60",2020-12-03,2020-05-28,"All over the World the CoronaVirus, a very bad “gift” from China, marches on. Not good!",42.1,57.1,7.9,284.7,60,1,0.5,0.5,0,16,-0.325298822375251
"61",2020-12-03,2020-05-29,"Twitter is doing nothing about all of the lies & propaganda being put out by China or the Radical Left Democrat Party. They have targeted Republicans, Conservatives & the President of the United States. Section 230 should be revoked by Congress. Until then, it will be regulated!",57,61.8,10.4,247.3,61,-0.25,0,0.75,-0.75,44,-0.118779166811777
"62",2020-12-03,2020-05-29,"“The President has been targeted by Twitter.” @MariaBartiromo What about all of the lies and fraudulent statements made by Adam Schiff, and so many others, on the Russian Witch Hunt Plus, Plus, Plus? What about China’s propaganda? WHO’s mistakes? No flags @foxandfriends",29.1,36.1,3.5,131.5,62,-2,0,1,-1,44,-0.260492645980317
"63",2020-12-03,2020-05-29,"CHINA!",156.7,81.8,756.4,756.4,63,NA,NA,NA,NA,1,0
"64",2020-12-03,2020-05-30,"Concast (@NBCNews) and Fake News @CNN are going out of their way to say GREAT things about China. They are Chinese puppets who want to do business there. They use USA airwaves to help China. The Enemy of the People!",23.1,40.1,3.7,179.4,64,0.25,0.25,0.75,-0.5,40,-0.214574092231203
"65",2020-12-03,2020-06-18,"It was not Ambassador Lighthizer’s fault (yesterday in Committee) in that perhaps I didn’t make myself clear, but the U.S. certainly does maintain a policy option, under various conditions, of a complete decoupling from China. Thank you!",10.5,19,1.2,77.4,65,1.5,1,0.5,0.5,40,0.356842472751783
"66",2020-12-03,2020-06-19,"The Democrats are doing totally false advertising. They have done NOTHING for years, including when Sleepy Joe was V.P., and they now have a Fake ad that my China Deal is losing us jobs. Opposite, & China is paying us $BILLIONS. Also, I LOVE Seniors & protect Preexisting C’s.",17.1,20,1.6,76.7,66,-0.5,0.5,0.75,-0.25,49,-0.000185254682604298
"67",2020-12-03,2020-06-22,"The China Trade Deal is fully intact. Hopefully they will continue to live up to the terms of the Agreement!",14.6,20.6,2.5,111.6,67,2.5,NA,NA,NA,20,0.425342145564767
"68",2020-12-03,2020-06-23,"We did a great job on CoronaVirus, including the very early ban on China, Ventilator production, and Testing, which is by far the most, and best, in the World. We saved millions of U.S. lives.! Yet the Fake News refuses to acknowledge this in a positive way. But they do give....",35.2,22.8,3.8,112,68,1.25,0.75,0.5,0.25,52,0.0806567772571887
"69",2020-12-03,2020-06-24,"Biden failed with China. They took us to the cleaners! I got $Billions out of China, and gave much of it to our targeted farmers!",33.2,31.4,2.9,151.3,69,-0.666666666666667,0,0.333333333333333,-0.333333333333333,25,-0.122061546837862
"70",2020-12-03,2020-06-30,"As I watch the Pandemic spread its ugly face all across the world, including the tremendous damage it has done to the USA, I become more and more angry at China. People can see it, and I can feel it!",86.9,58.6,14,286.7,70,-4.5,0,1.5,-1.5,40,-0.377331408621022
"71",2020-12-03,2020-07-05,"New China Virus Cases up (because of massive testing), deaths are down, “low and steady”. The Fake News Media should report this and also, that new job numbers are setting records!",69.2,54.9,8.2,259.2,71,-1.5,0.5,1,-0.5,31,0.153423367155882
"72",2020-12-03,2020-07-06,"China has caused great damage to the United States and the rest of the World!",72.9,105.3,15.3,523.5,72,1,1,1,0,15,0.0645497224367903
"73",2020-12-03,2020-07-06,"Deaths from the China Virus are down 39%, while our great testing program continues to lead the World, by FAR! Why isn’t the Fake News reporting that Deaths are way down? It is only because they are, indeed, FAKE NEWS!",22.6,30.9,2.9,134.8,73,-1,0.666666666666667,1,-0.333333333333333,40,-0.13638413915949
"74",2020-12-03,2020-07-06,"BREAKING NEWS: The Mortality Rate for the China Virus in the U.S. is just about the LOWEST IN THE WORLD! Also, Deaths in the U.S. are way down, a tenfold decrease since the Pandemic height (and, our Economy is coming back strong!).",20.8,30.6,3.6,129.6,74,0.5,0.5,1,-0.5,44,-0.334598926298694
"75",2020-12-03,2020-07-06,"The Democrats would not have BANNED travel from heavily infected China, especially so early, therefore, far more people would have died. Corrupt Joe Biden now admits this!!!",21.5,21.9,1.7,96,75,-4,0,1.5,-1.5,27,-0.409476829241712
"76",2020-12-03,2020-07-06,"Why does the Lamestream Fake News Media REFUSE to say that China Virus deaths are down 39%, and that we now have the lowest Fatality (Mortality) Rate in the World. They just can’t stand that we are doing so well for our Country!",43.8,36.8,4.7,140.1,76,-4.5,0.5,1.5,-1,43,-0.241274262317002
"77",2020-12-03,2020-07-07,"Here we go again. Fake News @CNN is blaming RUSSIA, RUSSIA, RUSSIA. They are sick losers with VERY bad ratings! P.S. Can’t blame China because they need the cash?",49.5,47.2,5.1,180.2,77,-3,0,1.25,-1.25,31,-0.548747725950585
"78",2020-12-03,2020-07-08,"Economy and Jobs are growing MUCH faster than anyone (except me!) expected. Job growth is biggest in history. China Virus Mortality Rate is among the LOWEST of any country. Shaping up for a good third quarter, and a great next year! NASDAQ at new record high, 401k’s way up!!!!",38.5,29.7,3.7,133.8,78,1.6,0.6,0.2,0.4,50,0.248956909928658
"79",2020-12-03,2020-07-21,"You will never hear this on the Fake News concerning the China Virus, but by comparison to most other countries, who are suffering greatly, we are doing very well - and we have done things that few other countries could have done!",51.3,21.7,5.8,110.2,79,-5,1,3,-2,41,-0.181161563790783
"80",2020-12-03,2020-07-26,"Crazy Nancy Pelosi said I made a mistake when I banned people from infected China from entering the U.S. in January. Tens of thousands of lives were saved, as she danced in the Streets of Chinatown (SF) in late February. Biden agreed with her, but soon admitted that I was right!",32.9,40,3.3,186.7,80,-2,0.333333333333333,1,-0.666666666666667,52,0.177930911060637
"81",2020-12-03,2020-07-26,"Because of my strong focus on the China Virus, including scheduled meetings on Vaccines, our economy and much else, I won’t be able to be in New York to throw out the opening pitch for the @Yankees on August 15th. We will make it later in the season!",68.2,19.1,10.7,106,81,1,0.5,0.5,0,49,0.213054717357024
"82",2020-12-03,2020-07-30,"Major China Virus flare ups in many of the countries that the Fake News was touting as doing so well. Some of these countries are now a disaster. Lamestream Media doesn’t want to report this. Also, highly inaccurate numbers being reported by many other countries!!! @WSJ",20.3,20.8,1.9,77.7,82,-1.2,0.2,1,-0.8,47,-0.250793262646528
"83",2020-12-03,2020-07-31,"Pelosi & Schumer blocked desperately needed unemployment payments, which is so terrible, especially since they fully understand that it was not the workers fault that they are unemployed, it’s the fault of China!",23.9,39,3.1,134,83,-9,0,5,-5,33,-0.48393588355684
"84",2020-12-03,2020-08-03,"With the exception of New York & a few other locations, we’ve done MUCH better than most other Countries in dealing with the China Virus. Many of these countries are now having a major second wave. The Fake News is working overtime to make the USA (& me) look as bad as possible!",28,22.1,3.6,97.1,84,-1.33333333333333,0.333333333333333,1,-0.666666666666667,52,-0.00129848738963151
"85",2020-12-03,2020-08-03,"So Crazy Nancy Pelosi said horrible things about Dr. Deborah Birx, going after her because she was too positive on the very good job we are doing on combatting the China Virus, including Vaccines & Therapeutics. In order to counter Nancy, Deborah took the bait & hit us. Pathetic!",31,24.1,3.7,94.8,85,-0.666666666666667,0.666666666666667,1.66666666666667,-1,47,-0.268576854641789
"86",2020-12-03,2020-08-03,"RECORD HIGH NASDAQ! It would all come crashing down, including your Jobs, Stocks, and 401k’s, if Sleepy Joe ever became President. China and others would own us!!!",29.2,32.4,3.6,142.9,86,NA,0,0.333333333333333,-0.333333333333333,28,-0.0448045429522945
"87",2020-12-03,2020-08-07,"I called the politicization of the China Virus by the Radical Left Democrats a Hoax, not the China Virus itself. Everybody knows this except for the Fake and very Corrupt Media!",29.7,34.6,3.6,142.3,87,-2.5,0,3,-3,31,-0.518085700849967
"88",2020-12-03,2020-08-07,"Pelosi and Schumer only interested in Bailout Money for poorly run Democrat cities and states. Nothing to do with China Virus! Want one trillion dollars. No interest. We are going a different way!",33.5,39.3,4.2,160.5,88,0.4,0,0.4,-0.4,33,-0.174754740613981
"89",2020-12-03,2020-08-11,"More Testing, which is a good thing (we have the most in the world), equals more Cases, which is Fake News Gold. They use Cases to demean the incredible job being done by the great men & women of the U.S. fighting the China Plague!",31.9,23.7,3.7,115.2,89,1.5,2,1.5,0.5,45,-0.0182739751415129
"90",2020-12-03,2020-08-23,"Chris Wallace “forgot” to ask a very weak and pathetic Schumer puppet, Senator Chrisie Coons, why Biden fought me when I put an extremely early BAN on people coming into our Country from heavily infected China. Biden later admitted I was right! But why no question?",21,28.4,2.1,117.8,90,-3,0.333333333333333,1.33333333333333,-1,46,-0.204215795547953
"91",2020-12-03,2020-08-26,"Just In: Chinese State Media and Leaders of CHINA want Biden to win “the U.S. Election”.  If this happened (which it won’t), China would own our Country, and our Record Setting Stock Markets would literally CRASH!",45.2,50,5.6,200.7,91,1,0.333333333333333,0.333333333333333,0,38,0.109613140547251
"92",2020-12-03,2020-09-03,"Governors Andrew Cuomo of New York has the worst record on death and China Virus. 11,000 people alone died in Nursing Homes because of his incompetence!",34.2,41.4,4.6,170,92,-6,0,2.5,-2.5,25,-0.454683626947581
"93",2020-12-03,2020-09-03,".@NYGovCuomo should get his puppet New York prosecutors, who have been illegally after me and my family for years, to investigate his incompetent handling of the China Virus, and all of the deaths caused by this incompetence. It is at minimum a Nursing Home Scandal - 11,000 DEAD!",24,32,2.7,110.1,93,-5,0,3.5,-3.5,46,-0.555271966195566
"94",2020-12-03,2020-09-05,"Nancy Pelosi said she got “set up” by the owner (a very good one) of a beauty parlor. If so, how will she do in negotiations against President Xi of China, President Putin of Russia, or Kim Jong Un of North Korea. Not so well, I suspect, but far better than Joe Hiden’ would do!",42.9,38.3,3.7,177.1,94,1.33333333333333,1.33333333333333,0.333333333333333,1,55,0.128493674433974
"95",2020-12-03,2020-09-07,"Starting to get VERY high marks in our handling of the Coronavirus (China Virus), especially when compared to other countries and areas of the world. Now the Vaccines (Plus) are coming, and fast!",47.4,21.9,5.2,113.2,95,NA,0.5,0.5,0,33,0.126776695296637
"96",2020-12-03,2020-09-08,"My Campaign spent a lot of money up front in order to compensate for the false reporting and Fake News concerning our handling of the China Virus. Now they see the GREAT job we have done, and we have 3 times more than we had 4 years ago - & are up in polls. Lots of $’s & ENERGY!",17,17.8,1.5,77.8,96,0,0.333333333333333,1,-0.666666666666667,54,-0.0243412336894612
